City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
105,farafangana,-22.8167,47.8333,25.680000000000007,79,55,3.17,MG,2024-04-22
106,hasaki,35.7333,140.8333,16.220000000000027,71,96,5.84,JP,2024-04-22
107,telhara,21.0269,76.8389,37.14000000000004,24,100,4.12,IN,2024-04-22
108,guerrero negro,27.9769,-114.0611,14.370000000000005,93,0,3.52,MX,2024-04-22
109,bol'sherech'ye,56.0925,74.6272,12.470000000000027,39,26,8.42,RU,2024-04-22
110,zorritos,-3.6805,-80.6782,24.879999999999995,79,100,0.24,PE,2024-04-22
111,gazojak,41.1875,61.4036,32.660000000000025,12,10,5.22,TM,2024-04-22
112,charlestown,-32.95,151.6667,19.850000000000023,88,7,2.09,AU,2024-04-22
113,pemangkat,1.1667,108.9667,28.700000000000045,78,67,1.5,ID,2024-04-22
114,odesskoye,54.2111,72.9651,16.640000000000043,28,9,5.55,RU,2024-04-22
115,ouadda,8.0777,22.4007,38.34000000000003,25,86,2.85,CF,2024-04-22
116,wamba,8.9333,8.6,34.18000000000001,45,99,3.34,NG,2024-04-22
117,pakxan,18.3778,103.6601,37.74000000000001,19,18,2.52,LA,2024-04-22
118,bredasdorp,-34.5322,20.0403,23.82000000000005,50,5,4.25,ZA,2024-04-22
119,st. john's,47.5649,-52.7093,6.100000000000023,96,100,2.57,CA,2024-04-22
120,hermanus,-34.4187,19.2345,22.670000000000016,71,34,3.58,ZA,2024-04-22
121,boyolangu,-8.1181,111.8935,25.08000000000004,95,100,2.45,ID,2024-04-22
122,alice springs,-23.7,133.8833,16.75,55,100,2.57,AU,2024-04-22
123,turpan,42.9333,89.1667,31.80000000000001,10,0,2.07,CN,2024-04-22
124,ubari,26.5921,12.7805,40.34000000000003,5,100,10.5,LY,2024-04-22
125,nar'yan-mar,67.6713,53.087,-9.379999999999995,90,81,1.79,RU,2024-04-22
126,port alfred,-33.5906,26.891,17.32000000000005,93,53,2.24,ZA,2024-04-22
127,vorkuta,67.5,64.0,-9.939999999999998,87,100,5.81,RU,2024-04-22
128,fukuecho,32.6881,128.8419,16.230000000000018,92,100,6.2,JP,2024-04-22
129,cuichapa,18.7667,-96.8667,20.83000000000004,93,83,0.65,MX,2024-04-22
130,mokhsogollokh,61.4681,128.9203,2.900000000000034,90,100,2.68,RU,2024-04-22
131,iskateley,67.6803,53.1512,-9.42999999999995,90,81,1.79,RU,2024-04-22
132,ribeira grande,38.5167,-28.7,17.220000000000027,72,75,5.81,PT,2024-04-22
133,broome,42.2506,-75.833,2.2100000000000364,78,0,1.54,US,2024-04-22
134,cidreira,-30.1811,-50.2056,20.24000000000001,78,88,1.16,BR,2024-04-22
135,vieste,41.8825,16.175,14.730000000000018,63,7,7.13,IT,2024-04-22
136,male,4.1748,73.5089,30.970000000000027,84,75,5.14,MV,2024-04-22
137,serhetabat,35.2799,62.3438,29.870000000000005,17,6,3.82,TM,2024-04-22
138,nusaybin,37.0778,41.2178,26.170000000000016,24,1,4.19,TR,2024-04-22
139,katsuura,35.1333,140.3,15.900000000000034,80,100,6.04,JP,2024-04-22
140,tuskegee,32.424,-85.6916,7.640000000000043,100,2,2.69,US,2024-04-22
141,kirakira,-10.4544,161.9205,27.610000000000014,85,94,1.03,SB,2024-04-22
142,hamilton,39.1834,-84.5333,3.2100000000000364,89,0,0.0,US,2024-04-22
143,manggar,-2.8833,108.2667,28.470000000000027,80,43,1.8,ID,2024-04-22
144,rockland,41.1668,-74.0496,6.360000000000014,72,20,3.06,US,2024-04-22
145,harnosand,62.6323,17.9379,2.0100000000000477,66,80,5.26,SE,2024-04-22
146,selfoss,63.9331,-20.9971,7.800000000000011,52,64,1.83,IS,2024-04-22
147,suva,-18.1416,178.4415,27.710000000000036,94,75,1.54,FJ,2024-04-22
148,flying fish cove,-10.4217,105.6791,26.82000000000005,100,100,4.63,CX,2024-04-22
149,hobyo,5.3505,48.5268,31.510000000000048,61,100,5.48,SO,2024-04-22
150,taza,34.25,-3.75,17.189999999999998,50,5,1.8,MA,2024-04-22
151,nguigmi,14.2495,13.1092,36.400000000000034,14,19,5.05,NE,2024-04-22
152,kolonia,50.9333,6.95,9.770000000000039,54,20,2.06,DE,2024-04-22
153,siracusa,37.0881,15.2792,18.77000000000004,66,100,7.42,IT,2024-04-22
154,kiruna,67.8557,20.2251,-4.489999999999952,58,20,4.12,SE,2024-04-22
155,carnarvon,-24.8667,113.6333,24.260000000000048,68,83,11.15,AU,2024-04-22
156,aasiaat,68.7098,-52.8699,0.4500000000000455,89,100,3.89,GL,2024-04-22
157,aykhal,66.0,111.5,-1.1499999999999773,98,100,3.68,RU,2024-04-22
158,mentougou,39.9392,116.0917,15.520000000000039,57,96,1.17,CN,2024-04-22
159,maur,30.0833,75.25,37.29000000000002,11,18,3.96,IN,2024-04-22
160,badger,64.8,-147.5333,1.740000000000009,69,20,2.57,US,2024-04-22
161,merritt island,28.5392,-80.672,22.05000000000001,84,100,5.66,US,2024-04-22
162,kiunga,-6.1219,141.2906,24.920000000000016,93,97,0.53,PG,2024-04-22
163,choibalsan,48.0667,114.5,8.560000000000002,41,100,4.24,MN,2024-04-22
164,sarikei,2.1167,111.5167,24.920000000000016,99,100,1.1,MY,2024-04-22
165,malkapur,20.8833,76.2,36.49000000000001,25,100,4.46,IN,2024-04-22
166,west island,-12.1568,96.8225,27.99000000000001,83,75,7.2,CC,2024-04-22
167,el obeid,13.1842,30.2167,39.879999999999995,7,25,4.99,SD,2024-04-22
168,saacow,1.6279,42.4407,31.660000000000025,59,100,2.61,SO,2024-04-22
169,nova sintra,14.8667,-24.7167,19.77000000000004,68,82,6.0,CV,2024-04-22
170,happy valley-goose bay,53.3168,-60.3315,2.170000000000016,87,40,4.12,CA,2024-04-22
171,paramonga,-10.6667,-77.8333,20.220000000000027,91,66,2.18,PE,2024-04-22
172,oodweyne,9.4092,45.064,29.360000000000014,43,100,2.54,SO,2024-04-22
173,west side highway,46.184,-122.9172,4.990000000000009,91,0,1.54,US,2024-04-22
174,mananjary,-21.2167,48.3333,26.220000000000027,80,46,2.72,MG,2024-04-22
175,karyes,37.3,22.5,17.810000000000002,35,97,4.63,GR,2024-04-22
176,bitkine,11.9801,18.2138,40.27000000000004,17,68,0.84,TD,2024-04-22
177,san patricio,28.017,-97.5169,18.80000000000001,68,80,4.38,US,2024-04-22
178,novosokol'niki,56.3463,30.1578,13.480000000000018,72,95,4.93,RU,2024-04-22
179,weno,7.4515,151.8468,26.970000000000027,94,100,3.09,FM,2024-04-22
180,vila velha,-20.3297,-40.2925,24.970000000000027,73,75,2.06,BR,2024-04-22
181,primero de mayo,-32.2552,-58.4228,18.79000000000002,98,95,3.65,AR,2024-04-22
182,kybartai,54.6386,22.7632,2.1299999999999955,99,100,6.66,LT,2024-04-22
183,mandalgovi,45.7625,106.2708,5.730000000000018,28,10,5.25,MN,2024-04-22
184,alappuzha,9.49,76.3264,29.439999999999998,72,58,5.84,IN,2024-04-22
185,namibe,-15.1961,12.1522,30.160000000000025,54,45,3.96,AO,2024-04-22
186,aldinga beach,-35.2793,138.4604,20.910000000000025,41,4,2.2,AU,2024-04-22
187,kailua-kona,19.6406,-155.9956,23.980000000000018,85,0,3.6,US,2024-04-22
188,lugus,5.7036,120.8203,29.27000000000004,78,19,3.02,PH,2024-04-22
189,olonkinbyen,70.9221,-8.7187,-1.6099999999999568,61,0,7.92,SJ,2024-04-22
190,fort abbas,29.1925,72.8536,36.5,12,3,4.06,PK,2024-04-22
191,beyneu,45.3167,55.2,31.439999999999998,15,36,6.13,KZ,2024-04-22
192,kyshtovka,56.555,76.6271,5.75,85,81,5.36,RU,2024-04-22
193,spring creek,40.7266,-115.5859,5.170000000000016,67,93,1.51,US,2024-04-22
194,malanje,-9.5402,16.341,27.360000000000014,53,97,2.86,AO,2024-04-22
195,abuja,9.0574,7.4898,31.08000000000004,45,99,2.19,NG,2024-04-22
196,motueka,-41.1333,173.0167,13.390000000000043,88,74,0.53,NZ,2024-04-22
197,kuanda,56.3161,116.0806,3.7100000000000364,71,100,1.54,RU,2024-04-22
